X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X23,X24,X25,X27,X28,X29,X30,X31,X32,X33,CLK_PERIOD,MAX_FREQUENCY,POWER_DYNAMIC,POWER_STATIC,UTIL_FF,UTIL_LUT,UTIL_SLICE,UTIL_RAMB,UTIL_DSP
0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,7.992,125.125,362.84,2879.42,4382,7001,3227,8,1
0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,8.979,111.371,324.41,2878.75,3909,6997,2825,8,0
0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,9.485,105.43,517.54,2879.66,4368,8442,3312,8,12
0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9.995,100.05,291.76,2878.55,4366,6476,3091,8,12
0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8.989,111.247,542.26,2879.63,3889,8609,3342,8,0
0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,9.489,105.385,280.57,2878.53,3739,6241,2288,8,12
0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,8.481,117.911,614.31,2880.74,4409,9475,3538,8,0
0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,8.979,111.371,251.76,2878.86,4264,7370,2651,8,0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,10.983,91.05,508.03,2881.46,3868,8276,3222,77,12
0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,9.486,105.419,551.54,2880.21,4390,9703,3598,8,0
0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,8.994,111.185,331.48,2881.9,3725,6824,3266,45,1
0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,7.49,133.511,636.7,2880.73,3909,8502,2662,8,1
0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,7.991,125.141,365.7,2879.4,4292,7145,2872,8,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,9.495,105.319,318.47,2878.73,3909,6914,3149,8,0
0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8.496,117.702,545.3,2880.16,4374,8688,3403,8,1
0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,8.485,117.855,355.32,2879.14,4386,6727,2930,8,1
0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,8.983,111.321,526.02,2879.75,3889,8716,3448,8,0
0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,9.977,100.231,458.09,2879.43,4362,8455,3290,8,12
0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,9.465,105.652,307.31,2878.52,3919,6877,2716,8,0
0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9.492,105.352,471.05,2879.26,3892,8544,2786,8,0
0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,10.474,95.475,293.77,2878.47,4355,6484,3108,8,12
